,Company,Model,Body Type,Trim Level,Engine Name,Engine Fuel Type,Engine Transmission,Engine Power,Engine Efficiency,Engine Emission,Price
85,Audi,Q2,5 door Estate,S Line,35 TFSI C+S,Petrol,Manual,150 bhp,46.3 mpg,,33225
86,Audi,Q2,5 door Estate,S Line,35 TFSI S Tronic,Petrol,Automatic,150 bhp,44.8 mpg,,33580
87,Audi,Q2,5 door Estate,S Line,35 TFSI S Tronic C+S,Petrol,Automatic,150 bhp,44.8 mpg,,34775
88,Audi,Q2,5 door Estate,Black Edition,30 TFSI,Petrol,Manual,110 bhp,44.8 mpg,,32215
89,Audi,Q2,5 door Estate,Black Edition,30 TFSI C+S,Petrol,Manual,110 bhp,44.8 mpg,,33410
90,Audi,Q2,5 door Estate,Black Edition,35 TFSI,Petrol,Manual,150 bhp,44.1 mpg,,34025
91,Audi,Q2,5 door Estate,Black Edition,35 TFSI C+S,Petrol,Manual,150 bhp,44.1 mpg,,35220
92,Audi,Q2,5 door Estate,Black Edition,35 TFSI S Tronic,Petrol,Automatic,150 bhp,43.5 mpg,,35575
93,Audi,Q2,5 door Estate,Black Edition,35 TFSI S Tronic C+S,Petrol,Automatic,150 bhp,43.5 mpg,,36770
94,Audi,Q2,5 door Estate,SQ2,SQ2 Quattro S Tronic,Petrol,Automatic,300 bhp,34 mpg,,41150
95,Audi,Q2,5 door Estate,SQ2,SQ2 Quattro S Tronic C+S Pack,Petrol,Automatic,300 bhp,34 mpg,,42145
96,Audi,Q2,5 door Estate,SQ2 Black Edition,SQ2 Quattro Black Edition S Tronic,Petrol,Automatic,300 bhp,34 mpg,,43345
97,Audi,Q2,5 door Estate,SQ2 Black Edition,SQ2 Quattro Black Edition S Tronic C+S Pack,Petrol,Automatic,300 bhp,33.6 mpg,,44340
98,Audi,Q2,5 door Estate,SQ2 Vorsprung,SQ2 Quattro Vorsprung S Tronic,Petrol,Automatic,300 bhp,33.6 mpg,,48100
99,Audi,A3,5 door Hatchback,Technik,30 TFSI,Petrol,Manual,110 bhp,51.4 mpg,,26035
100,Audi,A3,5 door Hatchback,Technik,30 TFSI S Tronic,Petrol,Automatic,110 bhp,55.4 mpg,,27585
101,Audi,A3,5 door Hatchback,Technik,30 TFSI Comfort+Sound,Petrol,Manual,110 bhp,51.4 mpg,,27230
102,Audi,A3,5 door Hatchback,Technik,30 TFSI S Tronic Comfort+Sound,Petrol,Automatic,110 bhp,55.4 mpg,,28780
103,Audi,A3,5 door Hatchback,Technik,35 TFSI,Petrol,Manual,150 bhp,50.4 mpg,111 g/km,27600
104,Audi,A3,5 door Hatchback,Technik,35 TFSI S Tronic,Petrol,Automatic,150 bhp,50.4 mpg,,29150
105,Audi,A3,5 door Hatchback,Technik,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,49.6 mpg,111 g/km,28795
106,Audi,A3,5 door Hatchback,Technik,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,50.4 mpg,,30345
107,Audi,A3,5 door Hatchback,Technik,35 TDI S Tronic,Diesel,Automatic,150 bhp,61.4 mpg,98 g/km,31050
108,Audi,A3,5 door Hatchback,Technik,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,61.4 mpg,98 g/km,32245
109,Audi,A3,5 door Hatchback,Sport,30 TFSI,Petrol,Manual,110 bhp,50.4 mpg,,27435
110,Audi,A3,5 door Hatchback,Sport,30 TFSI S Tronic,Petrol,Automatic,110 bhp,54.3 mpg,,28985
111,Audi,A3,5 door Hatchback,Sport,30 TFSI Comfort+Sound,Petrol,Manual,110 bhp,50.4 mpg,,28630
112,Audi,A3,5 door Hatchback,Sport,30 TFSI S Tronic Comfort+Sound,Petrol,Automatic,110 bhp,54.3 mpg,,30180
113,Audi,A3,5 door Hatchback,Sport,35 TFSI,Petrol,Manual,150 bhp,48.7 mpg,113 g/km,29040
114,Audi,A3,5 door Hatchback,Sport,35 TFSI S Tronic,Petrol,Automatic,150 bhp,49.6 mpg,,30550
115,Audi,A3,5 door Hatchback,Sport,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,48.7 mpg,113 g/km,30235
116,Audi,A3,5 door Hatchback,Sport,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,49.6 mpg,,31745
117,Audi,A3,5 door Hatchback,Sport,40 TFSI e S Tronic,Petrol/PlugIn Elec Hybrid,Automatic,204 bhp,N/A,,35790
118,Audi,A3,5 door Hatchback,Sport,40 TFSI e S Tronic Comfort+Sound,Petrol/PlugIn Elec Hybrid,Automatic,204 bhp,N/A,,36985
119,Audi,A3,5 door Hatchback,Sport,35 TDI S Tronic,Diesel,Automatic,150 bhp,60.1 mpg,100 g/km,32450
120,Audi,A3,5 door Hatchback,Sport,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,60.1 mpg,100 g/km,33645
121,Audi,A3,5 door Hatchback,S line,30 TFSI,Petrol,Manual,110 bhp,48.7 mpg,,29375
122,Audi,A3,5 door Hatchback,S line,30 TFSI S Tronic,Petrol,Automatic,110 bhp,52.3 mpg,,30885
123,Audi,A3,5 door Hatchback,S line,30 TFSI Comfort+Sound,Petrol,Manual,110 bhp,48.7 mpg,,30570
